date,ticker
2010-01-04,DST
2010-01-04,DST
2010-01-04,DUSA1
2010-01-04,DUSA1
2010-01-04,DUSA1
2010-01-04,DVCR
2010-01-04,DVCR
2010-01-04,DWCH
2010-01-04,DWCH
2010-01-04,DWCH
2010-01-04,DWCH
2010-01-04,DWCH
2010-01-04,DWOG
2010-01-04,DWOG
2010-01-04,DWOG
2010-01-04,DWOG
2010-01-04,DWOG
2010-01-04,DWOG
2010-01-04,DWOG
2010-01-04,DWOG
2010-01-04,DVAX
2010-01-04,DVAX
2010-01-04,DYAX
2010-01-04,DYAX
2010-01-04,DYN_old
2010-01-04,EBIXQ
2010-01-04,EBIX
2010-01-04,EBTX
2010-01-04,ECTE
2010-01-04,ECTE
2010-01-04,ECTE
2010-01-04,ECTE
2010-01-04,ECTE
2010-01-04,ECTE
2010-01-04,EF
2010-01-04,EF
2010-01-04,EF
2010-01-04,EF
2010-01-04,EFII
2010-01-04,EGAS
2010-01-04,EGAS
2010-01-04,EGAS
2010-01-04,EGAS
2010-01-04,EGAS
2010-01-04,EGI
2010-01-04,EGOV
2010-01-04,EGOV
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EGT
2010-01-04,EIHI
2010-01-04,EIHI
2010-01-04,EJ
2010-01-04,EK
2010-01-04,EK
2010-01-04,EK
2010-01-04,EK
2010-01-04,EK
2010-01-04,EKDKQ
2010-01-04,EKDKQ
2010-01-04,EKDKQ
2010-01-04,EKDKQ
2010-01-04,EKDKQ
2010-01-04,EMPR
2010-01-04,EMPR
2010-01-04,EMPR
2010-01-04,EMKR
2010-01-04,EMKR
2010-01-04,EMKR
2010-01-04,EMKR
2010-01-04,EMKR
2010-01-04,EMKR
2010-01-04,EMKR
2010-01-04,EMKR
2010-01-04,EMKR
2010-01-04,END
2010-01-04,END
2010-01-04,END
2010-01-04,END
2010-01-04,END
2010-01-04,ENG
2010-01-04,ENGC
2010-01-04,ENGCQ
2010-01-04,ENVE
2010-01-04,EOXLQ
2010-01-04,EOXLQ
2010-01-04,EOXLQ
2010-01-04,EOXLQ
2010-01-04,EPAX
2010-01-04,EPAX
2010-01-04,EPHC
2010-01-04,EPHC
2010-01-04,EPHC
2010-01-04,EPHC
2010-01-04,EPHC
2010-01-04,EPHC
2010-01-04,EPHC
2010-01-04,EPIQ
2010-01-04,EPIQ
2010-01-04,EPIQ
2010-01-04,EPL
2010-01-04,EPL
2010-01-04,EPL
2010-01-04,EPL
2010-01-04,EPL
2010-01-04,EPRS
2010-01-04,EPRSQ
2010-01-04,EPAY
2010-01-04,EPAY
2010-01-04,EPWCF
2010-01-04,EPWCF
2010-01-04,EPWCF
2010-01-04,EQC
2010-01-04,EQC
2010-01-04,EQC
2010-01-04,EQC
2010-01-04,ERBA
2010-01-04,ERBA
2010-01-04,ERBA
2010-01-04,ERBA
2010-01-04,ES_old
2010-01-04,ESCU
2010-01-04,ESCU
2010-01-04,ESCU
2010-01-04,ESI1
2010-01-04,ESIC
2010-01-04,ESIC
2010-01-04,ESIC
2010-01-04,ESIC
2010-01-04,ESIC
2010-01-04,ESIC
2010-01-04,ESIC
2010-01-04,ESIO
2010-01-04,ESIO
2010-01-04,ESGR
2010-01-04,ESSX
2010-01-04,ESSX
2010-01-04,ESSX
2010-01-04,ESND
2010-01-04,ESND
2010-01-04,ESND
2010-01-04,ESND
2010-01-04,ESND
2010-01-04,ESND
2010-01-04,ESND
2010-01-04,ESND
2010-01-04,ESTE
2010-01-04,EVEP
2010-01-04,EVEP
2010-01-04,EVEPQ
2010-01-04,EVEPQ
2010-01-04,EVLV_old
2010-01-04,EVRI
2010-01-04,EVRI
2010-01-04,EXAC
2010-01-04,EXAR
2010-01-04,EXAR
2010-01-04,EXAR
2010-01-04,EXAS
2010-01-04,EXAS
2010-01-04,EXLP
2010-01-04,EXH
2010-01-04,EXH
2010-01-04,FABU
2010-01-04,FALCD
2010-01-04,FALCD
2010-01-04,FALCD
2010-01-04,FALCD
2010-01-04,FALCD
2010-01-04,FBNIQ
2010-01-04,FBNIQ
2010-01-04,FBNIQ
2010-01-04,FBRC
2010-01-04,FBRC
2010-01-04,FBC
2010-01-04,FCFC
2010-01-04,FCFC
2010-01-04,FCTY
2010-01-04,FDNHQ
2010-01-04,FEEC
2010-01-04,FEEC
2010-01-04,FEEC
2010-01-04,FEEC
2010-01-04,FEEC
2010-01-04,FEEC
2010-01-04,FENCF
2010-01-04,FDP
2010-01-04,FFBH
2010-01-04,FFNW
2010-01-04,FFNW
2010-01-04,FFCH
2010-01-04,FFIC
2010-01-04,FFIC
2010-01-04,FHCO
2010-01-04,FLOW1
2010-01-04,FLY_old
2010-01-04,FMD
2010-01-04,FMD
2010-01-04,FMBI
2010-01-04,FMBI
2010-01-04,FOE
2010-01-04,FNCB
2010-01-04,FNCB
2010-01-04,FNSR
2010-01-04,FPIC
2010-01-04,FRBK
2010-01-04,FRM
2010-01-04,FRM
2010-01-04,FRM
2010-01-04,FRPT1
2010-01-04,FRPT1
2010-01-04,FRPT1
2010-01-04,FRPT1
2010-01-04,FSCI
2010-01-04,FSCI
2010-01-04,FSCI
2010-01-04,FSIN
2010-01-04,FSIN
2010-01-04,FSIN
2010-01-04,FSIN
2010-01-04,FSNN
2010-01-04,FTCY
2010-01-04,FTWRQ
2010-01-04,FTWRQ
2010-01-04,FTWRQ
2010-01-04,FTWRQ
2010-01-04,FTWRQ
2010-01-04,FTWRQ
2010-01-04,FTWRQ
2010-01-04,FTWRQ
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
